,text,label
0,"
Staffing shortages and cut backs are taking their toll on the service, making contact ( us will your staff) difficult- particular over the phone, when email access is difficult and off putting for me.",[0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
1,"#
Staff very friendly always there if needed very helpful patient I would stay here again no complaints very good food recommend this hospital",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 0. 0. 0.]
2,"'Cos it is good, they helped me and you have helped me'.",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0.]
3,"* As someone who prefers face-to-face appointments, I thought it was disappointing that only my first appointment was face-to-face. I was told all subsequent appointments had to be either a phone call, or via a video call providing I was happy for my appointment to be recorded and used for training purposes, which I wasn't.

* During my first phone appointment I explained that I really didn't find the online questionnaire useful and would prefer not to do it and was told I had to. I felt Talking Therapies was too structured and regimented and there was very little flexibility. The sessions revolved around questionnaires and worksheets which felt like completing homework.

* After only a couple of appointments my therapist went off sick for a couple of months. Whilst this is totally understandable, I feel I should have been offered another therapist rather than having no-one.

* When my therapist did return, I received a rather rude email saying she was back and had been trying to contact me, and if I didn't repsond I would be removed from Talking Therapies. I checked and I'd only received one phone call earlier that morning from a private number and no message, so I had no way to know who called me and was unable to respond. The message felt rather abrupt and made it sound like I'd been ignoring her, which I hadn't.",[0. 0. 0. 1. 1. 0. 0. 0. 1. 1. 0. 0. 0. 0. 0.]
4,"* Give use more preparation to what to bring to the appointment.
* have patience.
* Give treatment plan.",[0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
5,"*1. Husband had to wait down for more than 3 hours and was not shared my room details or my whereabouts, even though I needed him to be with me. 

2. Shared and handed over all my prescription medicines to the pharmacist, but throughout my stay my regular medication was not given to me even once. 

3. Nurses were very nice to talk to but that's that. Nurse Michelle was too busy to even get me from the recovery room where i had to wait for her for more than 2 hours, after many reminders from the recovery room nurse, she send someone else to get me; my call remote was kept far; bed alarm didn't work; lost my dignity while trying to go to the toilet after surgery and had an accident; nurses telling me to raise my arms even though i am not supposed to raise my arms for 3 months; no communication between the nurses on duty, every time i had to explain what my surgery details are and what i can do & what not; my husband was quoted approx £200 for his stay or more if he choose to stay with me; I was in tears to get any pain medication; No nurse came for helping with personal hygiene as well.  

4. Doctor on duty, well, i met with Dr George at around 1:30 pm where I was quoted that they forgot about me! I told him he is not the only one!! Throughout my stay that's the only time i met a doctor after surgery.

5. No cleaning of the room or toilets. for the first time in my life i got a UTI and fluid on the site of surgery. I am currently on strong antibiotics. I am a sepsis survivor and have a week immunity and with the lack of any cleaning there, this is ought to happen. 

6.This is a NEW hospital, but not a very well organised hospital. Having no parking on site is a joke as well. I have never in my life seen a hospital where there is no parking, Cleveland hospital is the first!",[0. 0. 1. 0. 1. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0.]
6,"- Answered my questions.
- Gave you information you wanted to know.
- Fatigue advice.",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0.]
7,"- Back to activity sessions were really good.
- Tailored to individual need.",[0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0.]
8,"- Be welcoming (the reception staff are very welcoming)
- Listen actively
- Show empathy
- Have sensitivity
- Routinely offer to send a record of recommended exercises by email
- Explain fully why further appointments are not necessary (and if it's about funding/resources, be honest)",[0. 1. 0. 0. 0. 0. 0. 1. 1. 0. 1. 0. 0. 0. 0.]
9,"- Clinicians could be more compassionate when people are visually distressed. 

- As someone who hasn't been with mental health services before, I was taken aback by how little the clinicians cared about my safety in that moment of crisis.",[0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 1. 0. 0. 0.]
10,"- Good reception.  It made me feel welcome and comfortable.
-  Good engagement with Consultant.  He was very professional, Good listening and respectful towards me.  It made me feel relaxed to talk.  I had time to express my needs to him.",[0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 0. 0. 0. 0. 0.]
11,"- I cannot fault my fantastic consultant who was kind, professional and clear. appointment was able to take place earlier than scheduled which is good.",[0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 1. 0. 0. 0.]
12,"- I feel on first session, an introduction could be given explaining the aim of the programme and what to expect.
                                                                                                                                                                                                                                                                Instead of going straight into the warm up.
- an information session on different benefits that we could be entitled to would be good.",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0.]
13,"- I think the reception staff probably need more training. They were slightly slow and didn’t seem completely focused 

- I think it would also be nice to have a selection of refreshments available for patients in the waiting room. If there were any I didn’t see them 

- I’ve found appointment arrangements a bit scatty and confusing - my appointment got shifted to another site with not that much notice",[0. 0. 0. 1. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
14,"- Listened to me
- Not tried to palm me off to another service unnecessarily 
- Responding to my GP would have been helpful, instead of ignoring them for months
- Dropping me from therapy after 3 sessions is a complete joke
- A rather pathetic discharge letter, the contents of which are very much the opposite of the truth, which is utmost disappointing 
- I was made to feel like a complete inconvenience to everyone I spoke to
- No regard for the difficulty of in- person attendance due to my full time job, of which is of a hugely sensitive nature and importance to victims of serious criminal offences, including last minute court appearances (I was made to feel like I was making excuses). But I take my job seriously and I don’t think this was even slightly acknowledged.",[0. 0. 0. 1. 0. 0. 0. 1. 0. 0. 0. 1. 0. 0. 0.]
15,"- More streamlined processes for the booking and payment of appointment;
- Timely sending of an invoice (not receipt), as clearly asked for, without the need for further follow up; 
- Better organisation in relation to coordination with the hospital on the findings of the sleep study; 
- Fuller discussion of small background abnormalities in my EEG. Explanations for such abnormalities (migraines, previous stroke or TBI) not relevant to my own situation were raised by the physician but no possible explanation for why they were seen in my case was provided.",[0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
16,"- Need more staff on the wweekend and doctor at the night shift.
- Change the halal meal so it's had the same everyday.
- Give [name removed] patient communication skills and do not leave here alone talking to a patient again.",[0. 0. 0. 1. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
17,"- Not be Judgemental
- Communicate in a more understanding manner
- Actually listen to me in appointments and address my needs",[0. 0. 0. 1. 0. 0. 0. 1. 0. 1. 0. 0. 0. 0. 0.]
18,"- Nurse was very nice and kind to my daughter.
- Knew what was wrong and how to help.",[0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 1. 0. 0. 0. 0.]
19,"- Simone was very gentle; it was the best blood test I have ever had!
- Dr Joan was wonderful and very thorough",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0.]
20,"- The curtains in the room are very annoying as you can't control the opening One of the curtains out of its total. I want you to open them all To shut them all off. - The level of professional nurses is much lower than required One of the nurses does not wear protective medical gloves when I start treatment and take medical readings Another nurse cannot control his hand in a unique way when taking a blood sample to check for sugar. Every time his hand trembles and he is unable to take the sample from the first time  - The level of catering service does not match the hospital's reputation As almost every pill order, there is a lack of the required contents, which affects the quality of the food that will be eaten",[0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0.]
21,"- The diet advice could have been issued as hand-outs - did not take A/C of current research eg value and context of breakfast.
- Tell participants why doing particular exercises.",[0. 1. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0.]
22,"- improve the admission process, it was extremely stressful for both my partner and I to wait more than 10 hours to be taken to theatre
- improve the communication about what was happening on admission day - different stories from different members of staff",[0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
23,- listened to well.,[0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0.]
24,"- not be accused of failing to attend a session
- being able to receive therapy at a suitable time (my last one was very rushed in a hot car in a car park as there wasn’t another time available)
- not being rushed; my mum had just passed away and my daughter had been assaulted, but these events were brushed aside
- have a therapist who cares and is not just focused on rushing through a set of questions when somebody is clearly in a lot of distress",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0.]
25,"-Location in London is easily accessible
- reception staff throughout very helpful
- clean environment
- minimal waiting times
- polite staff
- appointment with Dr Haidry himself was exceptional",[1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0.]
26,"-My period of care was quite short, I feel like I never get support long enough to be able to get into a place where a crisis won't happen again. 
-There isn't any follow-up care after discharge.",[0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
27,.,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 0. 0. 0.]
28,". I was treated with compassion, kindness, respect and empathy. I have had a lot of treatment in the private sector and this experience has been the best by far.",[0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 1. 0. 0. 0.]
29,"1) As ECG was taken, should have improved the patient to not apply moisture.",[0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
30,"1) Didn't get many details about the actual procedure pre-visit - what to do or not do afterwards etc.
2) See above para.",[0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
31,"1) On booking the appointment with Professor PS I informed his secretary, at her request, that needed advice on incontinence. When I met Professor PS he told me that he did not give advice on that, and referred me to a colleague. So the appointment was a waste of my time and his.
2) No one said anything about the cost of my visit. I raised this with Prof PS, who said that was normal, since I am insured. However, that is not an acceptable answer. First, as I told Prof PS, I have a high excess on the policy, and, second, I may, in any event, choose not to go ahead with treatment. In either case, it would be me who would pay the cost of obtaining advice at the first consultation. Thirdly, I am the patient, not the insurance company, and so am entitled to be told the cost of the care that I am to receive. I note that one of the questions asked in this survey is whether the costs of the treatment were communicated to me: I infer that Prof PS was mistaken in saying that I should not expect that.",[0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
32,"1) call patients back
2) assess them in a timely manner
3) psychiatrist assessments asap
4) 2 year waiting lists - really? Outrageous
5) talk to your colleagues, communicate
6) read the case notes
7) talk to the child and parent and listen
8) provide professional caring support for vulnerable patients
9) don’t fob off to other departments/colleagues or inappropriate services",[1. 0. 0. 1. 0. 0. 0. 1. 0. 1. 0. 0. 1. 0. 0.]
33,"1- I should’ve been attended by the person I was referred to .
2- Physiotherapy should involved atleast some physiotherapy. 
3- Trainees shouldn’t be allowed to attend a patient alone.",[0. 0. 0. 0. 1. 1. 0. 0. 0. 1. 0. 0. 0. 0. 0.]
34,"1- not interview me 
2- calm me down before asking questions 
3- inform me it’s an assessment 
4- don’t ask people why they are triggers when someone is in crisis
5- encourage service users to regulate and use skills 
6- actually read the care plan 
7- keep the person in crisis in the loop
8- don’t say your going to call then don’t",[0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
35,1-1 support instead of groups,[0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0.]
36,1-2-1 more private for all.,[0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0.]
37,"1.  The staff who worked in the food department were extremely polite, yet, I experienced several miscommunications with them. 
Meals were missed and when I tried to explain I was diabetic they were confused and said my profile only listed I was allergic to crustaceans (!) yet I was hospitalized for severe hyperglycaemia due to diabetes.
Meals were either on time, delayed an hour or missed altogether - so several inconsistencies in the food chain of command.
2.  Discharge took a couple of hours.  I brought in medication of my own and the pharmacy misplaced it and then eventually found it. Getting future appointments, discharge summary and meds. took at least 2 hours.  A bit of hurry up and wait.",[1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
38,"1. A first appointment should be face to face and within one hour of the stated time.
2. Doctors should have more empathy with their patients aware that patients may be frightened and overwhelmed in coping with new longterm serious conditions.
3. The waiting time for a first appointment is unacceptable ....
I had to give up my job because j could not cope with my symptoms! Also I got seriously low thinking some of my symptoms were due to severe stress and consequenyly I have been given mental health counselling (I may not have needed this if I had been diagnosed more promptly!)",[0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0.]
39,"1. After the blood test and the echo scan an assistant called me to ask if i was in the hospital immediately prior to my appointment with Dt Narbeh Melikian (who is excellent). I would not have had the prior tests if I was not present in the hospital.

2. No soap in the dispenser of a WC facility I used.",[0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
40,"1. Although I had the visit planned for a few weeks, for an endoscopy, I did not receive any communication until the day before my visit - and this was only upon reaching out and pushing the topic. The time of the procedure was not communicated to me until the day before which caused many challenges including requesting the appropriate time off work, arranging childcare so my wife could collect me after the procedure, and travel logistics. To give patients a single day's notice to communicate the time of a procedure is very poor
2. Upon arrival, the receptionist could not initially find any record of my appointment. He eventually was able to, blaming the delay on 'the system'
3. I was not given a patient ID bracelet upon entrance. When I was brought into the endoscopy room, the entire team was unable to proceed until an ID was printed and brought to me. This didn't take very long, but still, it wasted the entire team's time, was inefficient, and indicative of questionable administrative practices. It is hard to quantify the cost of such a delay, but if it happens with any regularity, the financial impact would be appreciable",[0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
41,"1. Cleaner upholstery on the couches within the premise.
2.  Clearer communication between nursing staff and patients over section 17 leave.
3.  Better administration of section 17 leave.
4.  Less sensitive alarm systems.
5.  Larger rooms beyond a months stay.",[0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
42,"1. Dr. Ian Webb - fanatastic experience and felt super secure in his hands
2. Jessica Bivand - on the phone - super structured and precise.
3. Jezel (Day unit nurse) - compassionate, great listener, expert at her role, one of the best nurse experiences I've had.
4. Recovery nurse ( forget her name ) - compassionate, great listener, expert at her role, one of the best nurse experiences I've had.

Overall everyone involved (the angiogram team, the support nurses) were on extremely professional and caring. Very thankful to the day care unit, recovery nurses and the angiogram team.",[0. 0. 0. 0. 0. 1. 1. 0. 1. 0. 0. 1. 0. 0. 0.]
43,"1. Explain purpose of my admission to the community heat function (it was to super use my transmission to new drug but I thought that Brompton hospital was 'done' with me.
2. Get bloods forms out faster. 2-3 week phlebotomy window.",[0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
44,"1. I called up to book an appointment and was told to email the referral letter which I did - 24 hours later had received no response so had to call up and chase. 
2. Received a response to the referral letter saying that it wasn't specific enough about where I needed the MRI. I challenged this (as the referral letter was specific) and then suddenly they changed their mind and sent me the registration email request (which included loads of typos and didn't even make sense). 
3. The next morning I receive an email saying that there is an appointment available that day at 1:30pm so I replied immediately confirming I will attend. Had no response until 1:20pm when I am almost at the clinic saying that appointment had been held for someone else and was no longer available. Incredibly frustrating. 
4. Was offered an appointment for Monday morning which I accepted, logged in to the portal and it says the appointment has been booked for Saturday so had to call up and get it sorted, next available appointment is the following Thursday - a week since I initially tried to book an MRI scan. 
5. Referred to as Mr in all emails, even though I am a Ms and this is how I filled out the registration form. 
6. Then had to wait 6 days for the imaging results to be sent to my physio, and these were only sent once I had chased (and called up numerous times with no answer). 
Whole experience has been totally unsatisfactory (apart from the MRI itself) and will not be using the Cleveland Clinic for any future appointments.",[0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
